iter	Passed	Remaining
0	196	196135
1	197	98493
2	198	66012
3	200	49833
4	201	40062
5	202	33536
6	203	28866
7	205	25430
8	206	22713
9	207	20544
10	208	18757
11	209	17271
12	210	16010
13	212	14936
14	213	14003
15	214	13178
16	215	12456
17	216	11807
18	217	11239
19	219	10749
20	220	10289
21	221	9852
22	222	9454
23	223	9091
24	224	8756
25	225	8445
26	226	8168
27	227	7904
28	228	7660
29	229	7431
30	231	7224
31	232	7033
32	233	6852
33	234	6670
34	235	6499
35	236	6339
36	237	6186
37	238	6047
38	240	5915
39	241	5785
40	242	5660
41	243	5547
42	244	5435
43	245	5330
44	246	5232
45	248	5145
46	249	5052
47	250	4965
48	251	4880
49	252	4795
50	253	4715
51	254	4635
52	255	4564
53	256	4490
54	257	4421
55	258	4353
56	259	4292
57	260	4237
58	262	4179
59	263	4123
60	264	4068
61	265	4013
62	266	3962
63	268	3924
64	269	3880
65	270	3831
66	271	3784
67	272	3737
68	273	3692
69	274	3649
70	275	3605
71	276	3564
72	277	3525
73	278	3485
74	279	3448
75	280	3411
76	281	3375
77	282	3342
78	284	3312
79	285	3279
80	286	3246
81	287	3214
82	287	3178
83	288	3148
84	289	3119
85	290	3091
86	292	3064
87	293	3038
88	294	3012
89	295	2986
90	296	2961
91	297	2940
92	299	2921
93	300	2898
94	301	2874
95	302	2851
96	303	2828
97	304	2806
98	305	2784
99	307	2763
100	307	2741
101	309	2720
102	310	2701
103	311	2683
104	313	2669
105	314	2653
106	315	2633
107	316	2614
108	317	2596
109	318	2578
110	319	2560
111	320	2543
112	322	2528
113	323	2512
114	324	2498
115	325	2483
116	327	2469
117	328	2457
118	329	2442
119	330	2426
120	331	2411
121	332	2394
122	333	2379
123	334	2365
124	335	2351
125	337	2337
126	337	2322
127	338	2308
128	339	2295
129	341	2282
130	342	2272
131	344	2262
132	345	2250
133	346	2239
134	347	2228
135	348	2217
136	350	2206
137	351	2195
138	352	2183
139	353	2173
140	355	2164
141	355	2150
142	357	2144
143	359	2136
144	360	2125
145	361	2114
146	362	2104
147	363	2094
148	364	2084
149	366	2074
150	367	2065
151	368	2056
152	369	2046
153	370	2038
154	373	2038
155	375	2030
156	376	2021
157	377	2013
158	378	2004
159	380	1995
160	381	1985
161	382	1977
162	383	1968
163	384	1959
164	386	1955
165	388	1950
166	389	1943
